# country	name	reason
Bosnia and Herzegovina	Nihad Mujaković	(no roster match)
Egypt	Mostafa Ziko	(no roster match)
Egypt	Mohanad Lasheen	(no roster match)
Egypt	Nabil Emad	(no roster match)
Egypt	Mostafa Shobeir	(no roster match)
Iran	Mohammad Mohebi	(no roster match)
Iran	Hossein Kanaanizadegan	(no roster match)
Iran	Shahriyar Moghanlou	(no roster match)
Iran	Dennis Eckert	(no roster match)
Iran	Danial Eiri	(no roster match)
Iraq	Manaf Younis	(no roster match)
Iraq	Ahmed Qasem	(no roster match)
Iraq	Ahmed Maknzi	(no roster match)
Iraq	Zaid Ismail	(no roster match)
Jordan	Mohammad Abu Hashish	(no roster match)
Jordan	Mohammad Abu Zrayq	(no roster match)
Jordan	Nour Bani Attiah	(no roster match)
Jordan	Mohammad Al-Dawoud	(no roster match)
Morocco	Munir Mohamedi	(no roster match)
Paraguay	Juan José Cáceres	(no roster match)
Paraguay	Orlando Gill	(no roster match)
Paraguay	Kaku	(no roster match)
Saudi Arabia	Hassan Kadesh	(no roster match)
Saudi Arabia	Alaa Al-Hejji	(no roster match)
South Korea	Park Jin-seob	(no roster match)
Uzbekistan	Odiljon Hamrobekov	(no roster match)
Uzbekistan	Avazbek Ulmasaliev	(no roster match)
