# Manual rating overrides for notable players absent from the EA FC26 CSV.
# Format: Country<TAB>Name<TAB>Rating   (blank lines and #-comments ignored)
# Ratings are hand-estimated FIFA-style OVRs, applied on top of (and winning
# over) CSV matches. Add/adjust freely before re-running `go run ./cmd/import`.
#
# --- Genuinely absent from the CSV (would otherwise sit at the default) ---
Brazil	Vinícius Júnior	89
Brazil	Neymar	86
Brazil	Ederson Moraes	85
Brazil	Weverton	78
Netherlands	Memphis Depay	82
Sweden	Victor Lindelöf	79
Sweden	Ken Sema	72
Uruguay	Giorgian de Arrascaeta	83
Uruguay	Joaquín Piquerez	79
Uruguay	Sergio Rochet	77
Uruguay	Sebastián Cáceres	76
Uruguay	Matías Viña	75
Uruguay	Agustín Canobbio	74
Uruguay	Santiago Mele	74
Uruguay	Rodrigo Aguirre	73
Austria	Marko Arnautović	77
Japan	Takehiro Tomiyasu	78
Japan	Yūto Nagatomo	71
Japan	Keisuke Ōsako	73
Colombia	Cucho Hernández	78
Colombia	Willer Ditta	72
Ecuador	Gonzalo Plata	78
Ecuador	Félix Torres	75
Ecuador	Alan Franco	75
Ecuador	Pedro Vite	73
DR Congo	Chancel Mbemba	78
DR Congo	Théo Bongonda	75
DR Congo	Fiston Mayele	75
DR Congo	Gaël Kakuta	74
Ivory Coast	Amad Diallo	78
Ivory Coast	Ange-Yoan Bonny	77
Ivory Coast	Jean Michaël Seri	75
Paraguay	Fabián Balbuena	75
Paraguay	Júnior Alonso	75
Paraguay	Ramón Sosa	74
Australia	Mathew Ryan	77
Australia	Miloš Degenek	72
Tunisia	Hannibal Mejbri	73
Croatia	Toni Fruk	71
Mexico	Álvaro Fidalgo	78
Mexico	Jesús Gallardo	76
Mexico	Alexis Vega	75
Mexico	Luis Romo	75
Mexico	Roberto Alvarado	74
#
# --- Web-sourced FC26 ratings (futbin/fut.gg/sofifa, June 2026) for draftable
#     players missing from the CSV. A few marked (est) use the player's most
#     recent prior-edition rating where the FC26 number didn't surface. ---
Scotland	Andy Robertson	82
Argentina	José Manuel López	76
Argentina	Nicolás González	78
Brazil	Éderson Silva	82
Brazil	Danilo Luiz	79
Brazil	Luiz Henrique	78
Brazil	Léo Pereira	78
Colombia	Santiago Arias	74
Czech Republic	Vladimír Darida	74
Bosnia and Herzegovina	Dennis Hadžikadunić	69
Bosnia and Herzegovina	Ivan Šunjić	70
Curaçao	Jürgen Locadia	72
Paraguay	Gustavo Gómez	81
Paraguay	Gatito Fernández	70
Paraguay	Damián Bobadilla	72
Panama	Adalberto Carrasquilla	71
Panama	Ismael Díaz	74
Iran	Alireza Jahanbakhsh	73
Iran	Saman Ghoddos	68
Iran	Alireza Beiranvand	73
Iran	Ehsan Hajsafi	70
Iraq	Aymen Hussein	67
Jordan	Musa Al-Taamari	75
Qatar	Akram Afif	78
Qatar	Almoez Ali	74
Qatar	Hassan Al-Haydos	70
Qatar	Meshaal Barsham	70
Qatar	Edmilson Junior	74
Saudi Arabia	Firas Al-Buraikan	75
Saudi Arabia	Hassan Al-Tambakti	73
Saudi Arabia	Mohammed Al-Owais	69
South Africa	Ronwen Williams	67
South Africa	Teboho Mokoena	70
Mexico	Gilberto Mora	73
Egypt	Trézéguet	75
Egypt	Zizo	73
Egypt	Mohamed El Shenawy	74
Egypt	Emam Ashour	75
Egypt	Ibrahim Adel	72
#
# --- Recovered via club cross-reference: present in CSV under a spelling/
#     romanization variant, found by club + name-similarity. Exact EA ratings. ---
Saudi Arabia	Musab Al-Juwayr	75
Saudi Arabia	Hassan Kadesh	71
Saudi Arabia	Moteb Al-Harbi	67
Saudi Arabia	Jehad Thakri	66
Saudi Arabia	Alaa Al-Hejji	63
South Korea	Kim Jin-gyu	71
South Korea	Lee Gi-hyuk	69
