Bosnia and Herzegovina	GK	Nikola Vasilj	FC St. Pauli
Bosnia and Herzegovina	DF	Nihad Mujaković	Gaziantep
Bosnia and Herzegovina	DF	Dennis Hadžikadunić	Sampdoria
Bosnia and Herzegovina	DF	Tarik Muharemović	Sassuolo
Bosnia and Herzegovina	DF	Sead Kolašinac	Atalanta
Bosnia and Herzegovina	MF	Benjamin Tahirović	Brøndby
Bosnia and Herzegovina	DF	Amar Dedić	Benfica
Bosnia and Herzegovina	MF	Armin Gigović	Young Boys
Bosnia and Herzegovina	FW	Samed Baždar	Jagiellonia Białystok
Bosnia and Herzegovina	FW	Ermedin Demirović	VfB Stuttgart
Bosnia and Herzegovina	FW	Edin Džeko	Schalke 04
Bosnia and Herzegovina	GK	Mladen Jurkas	Borac Banja Luka
Bosnia and Herzegovina	MF	Ivan Bašić	Astana
Bosnia and Herzegovina	MF	Ivan Šunjić	Pafos
Bosnia and Herzegovina	MF	Amar Memić	Viktoria Plzeň
Bosnia and Herzegovina	MF	Amir Hadžiahmetović	Hull City
Bosnia and Herzegovina	MF	Dženis Burnić	Karlsruher SC
Bosnia and Herzegovina	DF	Nikola Katić	Schalke 04
Bosnia and Herzegovina	FW	Kerim Alajbegović	Red Bull Salzburg
Bosnia and Herzegovina	FW	Esmir Bajraktarevic	PSV Eindhoven
Bosnia and Herzegovina	DF	Stjepan Radeljić	Rijeka
Bosnia and Herzegovina	GK	Martin Zlomislić	Rijeka
Bosnia and Herzegovina	FW	Haris Tabaković	Borussia Mönchengladbach
Bosnia and Herzegovina	DF	Nidal Čelik	Lens
Bosnia and Herzegovina	FW	Jovo Lukić	Universitatea Cluj
Bosnia and Herzegovina	MF	Ermin Mahmić	Slovan Liberec
Canada	GK	Dayne St. Clair	Inter Miami CF
Canada	DF	Alistair Johnston	Celtic
Canada	DF	Alfie Jones	Middlesbrough
Canada	DF	Luc de Fougerolles	Dender
Canada	DF	Joel Waterman	Chicago Fire FC
Canada	MF	Mathieu Choinière	Los Angeles FC
Canada	MF	Stephen Eustáquio	Los Angeles FC
Canada	MF	Ismaël Koné	Sassuolo
Canada	FW	Cyle Larin	Southampton
Canada	FW	Jonathan David	Juventus
Canada	MF	Liam Millar	Hull City
Canada	FW	Tani Oluwaseyi	Villarreal
Canada	DF	Derek Cornelius	Rangers
Canada	MF	Jacob Shaffelburg	Los Angeles FC
Canada	DF	Moïse Bombito	Nice
Canada	GK	Maxime Crépeau	Orlando City SC
Canada	FW	Tajon Buchanan	Villarreal
Canada	GK	Owen Goodman	Barnsley
Canada	DF	Alphonso Davies	Bayern Munich
Canada	FW	Ali Ahmed	Norwich City
Canada	MF	Jonathan Osorio	Toronto FC
Canada	DF	Richie Laryea	Toronto FC
Canada	DF	Niko Sigur	Hajduk Split
Canada	FW	Promise David	Union Saint-Gilloise
Canada	MF	Nathan Saliba	Anderlecht
Qatar	GK	Mahmud Abunada	Al-Rayyan
Qatar	DF	Pedro Miguel	Al-Sadd
Qatar	DF	Lucas Mendes	Al-Wakrah
Qatar	DF	Issa Laye	Al-Arabi
Qatar	DF	Jassem Gaber	Al-Rayyan
Qatar	MF	Abdulaziz Hatem	Al-Rayyan
Qatar	FW	Ahmed Alaaeldin	Al-Rayyan
Qatar	FW	Edmilson Junior	Al-Duhail
Qatar	FW	Mohammed Muntari	Al-Gharafa
Qatar	FW	Hassan Al-Haydos	Al-Sadd
Qatar	FW	Akram Afif	Al-Sadd
Qatar	MF	Karim Boudiaf	Al-Duhail
Qatar	DF	Ayoub Al-Oui	Al-Gharafa
Qatar	DF	Homam Ahmed	Cultural Leonesa
Qatar	FW	Yusuf Abdurisag	Al-Wakrah
Qatar	DF	Boualem Khoukhi	Al-Sadd
Qatar	MF	Ahmed Al-Ganehi	Al-Gharafa
Qatar	DF	Sultan Al-Brake	Al-Duhail
Qatar	FW	Almoez Ali	Al-Duhail
Qatar	MF	Ahmed Fathy	Al-Arabi
Qatar	GK	Salah Zakaria	Al-Duhail
Qatar	GK	Meshaal Barsham	Al-Sadd
Qatar	MF	Assim Madibo	Al-Wakrah
Qatar	FW	Tahsin Jamshid	Al-Duhail
Qatar	DF	Al-Hashmi Al-Hussain	Al-Arabi
Qatar	FW	Mohamed Manai	Al-Shamal
Switzerland	GK	Gregor Kobel	Borussia Dortmund
Switzerland	DF	Miro Muheim	Hamburger SV
Switzerland	DF	Silvan Widmer	Mainz 05
Switzerland	DF	Nico Elvedi	Borussia Mönchengladbach
Switzerland	DF	Manuel Akanji	Inter Milan
Switzerland	MF	Denis Zakaria	Monaco
Switzerland	FW	Breel Embolo	Rennes
Switzerland	MF	Remo Freuler	Bologna
Switzerland	MF	Johan Manzambi	SC Freiburg
Switzerland	MF	Granit Xhaka	Sunderland
Switzerland	FW	Dan Ndoye	Nottingham Forest
Switzerland	GK	Yvon Mvogo	Lorient
Switzerland	DF	Ricardo Rodriguez	Real Betis
Switzerland	MF	Ardon Jashari	Milan
Switzerland	MF	Djibril Sow	Sevilla
Switzerland	FW	Christian Fassnacht	Young Boys
Switzerland	FW	Rubén Vargas	Sevilla
Switzerland	DF	Eray Cömert	Valencia
Switzerland	FW	Noah Okafor	Leeds United
Switzerland	MF	Michel Aebischer	Pisa
Switzerland	GK	Marvin Keller	Young Boys
Switzerland	MF	Fabian Rieder	FC Augsburg
Switzerland	FW	Zeki Amdouni	Burnley
Switzerland	DF	Aurèle Amenda	Eintracht Frankfurt
Switzerland	DF	Luca Jaquez	VfB Stuttgart
Switzerland	FW	Cedric Itten	Fortuna Düsseldorf
